127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "POST /wp-cron.php?doing_wp_cron=1537948628.8596580028533935546875 HTTP/1.0" 200 0 "http://labo1.local/wp-cron.php?doing_wp_cron=1537948628.8596580028533935546875" "WordPress/4.9.8; http://labo1.local"
127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=88b1f70421&1537948624822 HTTP/1.0" 200 1114 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=88b1f70421&1537948625546 HTTP/1.0" 200 572 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1280 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=88b1f70421&1537948625640 HTTP/1.0" 200 1 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:09 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:14 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 950 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:16 +0000] "GET /wp-admin/themes.php HTTP/1.0" 499 0 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:17 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 43916 "http://labo1.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [26/Sep/2018:07:57:17 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 41526 "http://labo1.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
